id,campania,created,updated,estado,idbase,dbsize,id_tipo
65,"Carbon 2","2019-07-08 12:38:10","2019-09-02 13:50:08",0,NULL,100,2
66,"Artico 1","2019-07-09 13:38:51","2019-08-14 22:43:06",0,NULL,1004,2
67,"Artico 2","2019-07-09 13:39:07","2019-08-14 22:43:33",0,NULL,1085,2
68,"React-Socios Sin Donar","2019-07-19 12:19:06","2020-03-21 16:29:00",0,NULL,386,2
69,"Carbon 3","2019-07-27 19:22:04","2020-01-28 12:58:48",0,NULL,2240,2
70,"Carbon 4","2019-07-27 19:23:53","2019-08-14 22:43:45",0,NULL,1049,2
71,"Chile Sin Plasticos 9","2019-07-27 19:27:29","2020-01-28 12:58:44",0,NULL,877,2
72,"Artico 3","2019-08-14 22:44:22","2020-01-28 12:58:40",0,NULL,1685,2
73,"Artico 4","2019-08-14 22:44:39","2020-01-28 12:58:35",0,NULL,376,2
74,"Artico 5","2019-08-14 22:44:54","2020-01-28 12:58:23",0,NULL,747,2
75,"Carbon 5","2019-08-14 22:45:21","2020-01-28 12:58:31",0,NULL,1068,2
76,"Carbon 6","2019-08-14 22:45:37","2020-01-28 12:58:17",0,NULL,2524,2
77,"Oceanos 4","2019-08-14 22:45:56","2020-01-28 12:58:12",0,NULL,432,2
78,"Amazonas 1","2019-09-30 21:48:22","2020-01-28 12:58:07",0,NULL,873,2
79,"Amazonas 2","2019-09-30 21:48:46","2019-11-13 13:45:20",0,NULL,125,2
80,"Amazonas 3","2019-09-30 21:49:02","2019-11-06 13:22:44",0,NULL,1308,2
81,"Carbon 7","2019-09-30 21:49:18","2020-01-28 12:58:01",0,NULL,127,2
82,"Carbon 8","2019-09-30 21:49:30","2019-11-11 11:28:36",0,NULL,192,2
83,"Amazonas 4","2019-11-06 13:22:35","2020-01-28 12:58:52",0,NULL,2837,2
84,"Hagamos Eco Noviembre 2019","2019-11-19 09:38:49","2019-11-22 10:14:58",0,NULL,4211,2
85,"Carbon 9","2019-11-22 10:14:50","2020-01-28 12:57:56",0,NULL,666,2
86,"Nvo Pacto_SNL_1","2019-12-06 18:07:33","2020-02-11 14:53:53",0,NULL,444,2
87,"Nvo Pacto_SNL_2","2019-12-06 18:07:48","2020-02-11 14:53:59",0,NULL,1556,2
88,"Nvo Pacto_SNL_3","2020-01-10 18:03:32","2020-03-21 16:28:56",0,NULL,666,2
89,"Nvo Pacto_SNL_4","2020-01-28 12:57:22","2020-03-21 16:28:51",0,NULL,964,2
90,Australia_SNL_1,"2020-01-28 12:57:50","2020-03-21 16:28:46",0,NULL,180,2
91,"Web Interno 2","2020-02-11 10:01:07","2020-03-21 16:28:41",0,NULL,155,2
92,"Nvo Pacto_SNL_5","2020-02-11 15:00:59","2020-03-21 16:28:36",0,NULL,451,2
93,Australia_SNL_2,"2020-02-11 15:01:19","2020-03-21 16:28:33",0,NULL,1295,2
94,"Nvo Pacto_SNL_6","2020-02-19 10:18:43","2020-03-21 16:28:30",0,NULL,268,2
95,Australia_SNL_3,"2020-02-19 10:18:57","2020-03-21 16:28:26",0,NULL,489,2
96,"Nvo Pacto_SNL_7","2020-03-07 23:16:22","2020-03-21 16:28:23",0,NULL,409,2
